question,type,option_1,option_2,option_3,option_4,correct_option
"Which factor most increases the attack surface of a deployed AI system?",multiple_choice,"Use of open-source libraries","Integration with multiple external APIs","Training on large datasets","Running on GPU infrastructure",2
"A clean-label poisoning attack differs from simple label flipping because it:",multiple_choice,"Modifies inference-time inputs only","Corrupts model hyperparameters","Preserves correct labels while manipulating feature representation","Extracts private data from trained models",3
"In federated learning, the primary red teaming concern is that an attacker can:",multiple_choice,"Increase communication latency","Inject malicious model updates from a compromised client","Disable the central server entirely","Modify encrypted traffic in transit",2
"Which metric best captures adversarial robustness in evaluation studies?",multiple_choice,"Clean accuracy only","Model parameter count","Loss convergence speed","Accuracy under adversarial perturbation",4
"What is the primary security risk of deploying a third-party pre-trained model without verification?",multiple_choice,"Reduced model explainability","Increased training cost","Embedded backdoors or hidden triggers","Higher inference latency",3
"Model inversion attacks are most feasible when a system:",multiple_choice,"Publishes full training datasets","Exposes confidence scores or probability outputs","Uses encrypted storage","Implements strict access controls",2
"Which governance principle requires documenting red team findings and feeding them into remediation cycles?",multiple_choice,"Non-maleficence","Accountability","Confidentiality","Obfuscation",2
"Why are transfer-based attacks significant in adversarial ML?",multiple_choice,"They require full white-box access","They depend on modifying hardware","They exploit the similarity of decision boundaries across models","They only work on small datasets",3
"Which defensive strategy directly reduces the influence of any single training datapoint?",multiple_choice,"Dropout regularisation","Differentially private SGD","Batch normalisation","Data augmentation",2
"From a red teaming perspective, the most difficult vulnerability to detect is typically:",multiple_choice,"Simple evasion via typos","Backdoor triggers embedded during training","Excessive GPU memory usage","Misconfigured API rate limits",2
